hhi,whi,hhi2,education,race,hispanic,experience,kidslt6,kids618,husby,region
yes,no,yes,13-15years,white,no,14.0,0.0,1.0,36.955,south
yes,no,yes,9-11years,white,no,17.5,0.0,2.0,9.0,south
no,yes,yes,16years,white,no,26.0,0.0,0.0,70.0,west
yes,no,yes,16years,white,no,11.0,0.0,0.0,35.0,south
yes,no,yes,12years,white,no,37.0,,,0.0,other
no,yes,no,13-15years,white,no,28.0,0.0,1.0,15.0,other
no,no,no,12years,,no,19.0,0.0,2.0,8.0,south
yes,yes,yes,13-15years,black,no,30.0,0.0,1.0,36.0,west
no,yes,yes,13-15years,white,no,20.0,0.0,0.0,25.0,south
yes,no,yes,13-15years,white,no,37.0,0.0,0.0,55.0,other
no,no,no,9-11years,white,yes,4.5,2.0,0.0,12.0,west
no,yes,no,12years,other,no,23.0,0.0,3.0,0.0,west
no,no,no,<9years,white,yes,26.0,1.0,4.0,13.5,south
yes,no,yes,12years,white,no,20.0,0.0,2.0,55.371,other
yes,no,yes,12years,white,no,34.0,0.0,0.0,54.0,west
yes,no,yes,13-15years,black,no,15.0,0.0,3.0,10.0,south
yes,yes,yes,12years,white,no,20.0,0.0,1.0,20.0,northcentral
no,yes,yes,12years,white,no,35.0,0.0,0.0,0.0,northcentral
no,no,no,<9years,white,no,39.0,,,0.0,other
no,no,no,16years,white,no,22.0,0.0,0.0,0.0,south
yes,yes,yes,12years,white,yes,1.0,0.0,0.0,26.328,west
yes,no,yes,<9years,white,no,28.0,0.0,2.0,24.0,other
yes,no,yes,12years,white,no,39.0,0.0,0.0,0.0,other
yes,no,yes,16years,white,no,25.0,0.0,2.0,99.999,other
no,yes,no,12years,white,no,13.0,1.0,0.0,0.0,south
yes,no,yes,12years,white,no,47.0,0.0,0.0,0.0,other
yes,no,yes,16years,white,no,43.0,0.0,0.0,107.89,west
no,no,no,12years,white,no,47.0,0.0,0.0,0.0,south
no,yes,no,16years,white,no,16.0,1.0,3.0,25.0,west
no,no,no,13-15years,,no,10.0,1.0,1.0,30.0,other
yes,no,yes,13-15years,,no,27.0,0.0,0.0,36.7,west
no,yes,no,16years,white,no,27.0,0.0,0.0,28.0,northcentral
no,yes,no,12years,white,no,21.0,0.0,1.0,0.0,south
no,yes,no,9-11years,white,no,36.5,0.0,0.0,0.0,other
yes,no,yes,13-15years,white,no,20.0,,,45.0,west
no,no,no,12years,white,no,47.0,0.0,0.0,0.36,south
no,no,no,13-15years,white,no,34.0,0.0,0.0,35.0,west
yes,no,yes,13-15years,,no,38.0,0.0,0.0,51.0,northcentral
no,yes,no,12years,white,no,16.0,2.0,1.0,10.0,northcentral
yes,no,yes,12years,white,no,17.0,0.0,3.0,34.0,northcentral
yes,yes,yes,13-15years,white,yes,16.0,0.0,3.0,30.0,west
no,yes,no,9-11years,white,no,41.5,0.0,0.0,26.078,northcentral
yes,no,yes,13-15years,white,no,11.0,1.0,1.0,70.0,other
yes,no,yes,9-11years,black,no,37.5,0.0,1.0,12.0,south
no,yes,yes,12years,white,no,16.0,1.0,0.0,99.999,west
no,yes,no,13-15years,white,no,3.0,0.0,0.0,13.0,northcentral
no,yes,no,16years,white,no,21.0,2.0,0.0,36.3,south
yes,no,yes,16years,white,no,27.0,0.0,1.0,65.0,other
no,yes,yes,>16years,white,no,4.0,,,28.0,south
no,yes,yes,12years,white,no,18.0,0.0,0.0,27.0,south
yes,yes,yes,16years,white,no,28.0,0.0,0.0,49.0,west
yes,no,yes,9-11years,white,no,28.5,0.0,0.0,99.999,west
no,no,no,13-15years,white,no,28.0,0.0,2.0,0.0,other
no,yes,no,16years,white,no,30.0,0.0,0.0,67.0,other
no,yes,no,12years,white,no,16.0,1.0,1.0,33.8,other
yes,yes,yes,13-15years,white,no,5.0,1.0,0.0,32.0,northcentral
no,yes,yes,9-11years,white,no,14.5,1.0,2.0,24.5,south
yes,no,yes,9-11years,white,no,26.5,0.0,0.0,48.0,south
no,yes,no,13-15years,white,no,11.0,1.0,1.0,99.999,west
yes,no,yes,13-15years,white,no,39.0,0.0,1.0,50.0,west
yes,no,yes,12years,white,no,24.0,0.0,0.0,27.0,northcentral
no,yes,no,13-15years,black,no,31.0,0.0,0.0,0.0,west
yes,no,yes,16years,white,no,14.0,0.0,0.0,44.0,other
no,no,no,13-15years,white,no,19.0,0.0,0.0,0.0,other
yes,no,yes,9-11years,white,no,15.5,0.0,2.0,32.0,south
no,no,no,12years,white,yes,6.0,0.0,0.0,9.3,west
yes,no,yes,9-11years,white,no,38.5,,,14.0,other
yes,no,yes,12years,white,no,33.0,0.0,0.0,31.0,northcentral
no,yes,no,13-15years,white,no,12.0,0.0,4.0,65.0,northcentral
yes,yes,yes,13-15years,white,no,12.0,0.0,2.0,35.0,south
no,yes,no,12years,white,no,18.0,1.0,2.0,36.0,west
yes,no,yes,13-15years,white,no,19.0,1.0,4.0,40.0,northcentral
yes,no,yes,12years,white,no,28.0,,,48.0,northcentral
yes,no,yes,16years,white,no,22.0,,,60.0,west
no,yes,no,>16years,white,no,20.0,0.0,2.0,40.0,west
yes,yes,yes,>16years,white,no,19.0,0.0,3.0,38.0,other
yes,no,yes,12years,white,no,15.0,0.0,2.0,21.0,northcentral
no,no,no,<9years,white,no,27.0,0.0,0.0,0.0,south
yes,no,yes,9-11years,,no,14.5,1.0,0.0,30.0,northcentral
yes,no,yes,12years,white,no,9.0,0.0,1.0,9.088,northcentral
yes,no,yes,<9years,white,yes,23.0,,,19.0,south
no,yes,no,16years,white,no,15.0,0.0,0.0,26.0,other
no,yes,no,12years,white,no,36.0,0.0,0.0,43.0,northcentral
yes,yes,yes,12years,white,no,27.0,0.0,1.0,30.0,south
yes,no,yes,12years,white,no,20.0,1.0,2.0,24.0,west
no,no,no,<9years,white,no,42.0,0.0,1.0,0.0,other
yes,no,yes,12years,white,no,28.0,0.0,1.0,46.862,west
no,no,no,9-11years,white,no,8.5,0.0,0.0,34.0,west
yes,yes,yes,12years,white,yes,17.0,0.0,0.0,60.0,other
yes,no,yes,13-15years,,no,10.0,1.0,1.0,42.0,south
no,no,no,13-15years,white,no,31.0,0.0,0.0,0.0,south
no,yes,yes,9-11years,white,yes,35.5,0.0,0.0,35.0,south
no,yes,yes,13-15years,white,no,32.0,0.0,0.0,24.128,south
yes,no,yes,12years,white,no,22.0,0.0,0.0,0.0,west
yes,no,yes,12years,white,no,31.0,0.0,0.0,46.8,south
yes,no,yes,13-15years,white,no,33.0,0.0,0.0,48.0,south
no,no,no,<9years,white,no,22.0,2.0,4.0,0.0,west
no,no,no,12years,white,no,8.0,0.0,0.0,32.2,west
yes,yes,yes,>16years,white,no,20.0,0.0,0.0,30.0,west
no,yes,no,13-15years,white,no,29.0,0.0,0.0,25.5,northcentral
yes,no,yes,12years,white,no,38.0,0.0,0.0,52.0,west
no,no,no,13-15years,white,no,8.0,1.0,1.0,15.0,west
yes,no,yes,13-15years,white,no,32.0,0.0,0.0,40.0,northcentral
yes,no,yes,12years,white,no,47.0,0.0,0.0,0.0,other
yes,yes,yes,13-15years,white,no,17.0,0.0,1.0,25.4,other
no,no,no,12years,white,no,25.0,0.0,1.0,0.0,other
no,yes,yes,13-15years,white,no,18.0,0.0,2.0,30.24,northcentral
no,no,no,12years,white,no,14.0,0.0,1.0,5.12,other
yes,yes,yes,12years,white,no,9.0,0.0,1.0,35.0,other
no,yes,no,16years,white,no,21.0,0.0,2.0,0.0,northcentral
no,no,no,12years,white,no,29.0,,,46.631,other
no,no,no,<9years,,no,30.0,0.0,0.0,0.0,south
no,no,no,13-15years,white,no,5.0,1.0,0.0,10.0,west
no,yes,yes,16years,white,no,11.0,,,39.52,south
yes,yes,yes,12years,white,no,32.0,0.0,0.0,26.4,other
no,yes,no,12years,white,no,29.0,0.0,0.0,10.0,northcentral
yes,no,yes,13-15years,,no,32.0,0.0,0.0,99.999,northcentral
no,yes,no,12years,white,no,17.0,0.0,1.0,0.0,south
yes,no,yes,12years,white,no,34.0,0.0,0.0,49.0,other
yes,no,yes,16years,white,no,16.0,1.0,2.0,65.276,other
no,yes,no,16years,white,no,21.0,0.0,1.0,0.0,other
yes,no,yes,13-15years,white,no,21.0,,,35.0,west
yes,yes,yes,13-15years,white,no,15.0,,,45.0,northcentral
yes,no,yes,>16years,white,no,24.0,0.0,3.0,50.0,northcentral
no,yes,yes,12years,white,no,11.0,0.0,0.0,23.5,other
yes,yes,yes,13-15years,white,no,36.0,0.0,0.0,99.999,west
no,yes,no,13-15years,white,no,9.0,0.0,0.0,18.8,west
yes,no,yes,>16years,,no,21.0,0.0,0.0,51.5,northcentral
yes,no,yes,16years,white,no,9.0,1.0,0.0,26.0,northcentral
yes,no,yes,<9years,white,yes,43.0,,,0.0,other
yes,no,yes,16years,,no,13.0,1.0,0.0,51.0,west
yes,yes,yes,12years,white,no,17.0,1.0,0.0,33.0,south
no,yes,no,13-15years,white,no,25.0,,,50.0,south
yes,no,yes,13-15years,white,no,18.0,0.0,3.0,20.16,northcentral
yes,no,yes,9-11years,,no,42.5,0.0,0.0,32.0,northcentral
no,no,yes,13-15years,,no,38.0,0.0,0.0,0.0,west
yes,no,yes,16years,,no,13.0,2.0,1.0,65.0,other
yes,yes,yes,12years,white,no,11.0,0.0,0.0,25.6,south
no,yes,yes,12years,white,no,31.0,0.0,0.0,46.0,south
yes,yes,yes,13-15years,white,yes,29.0,0.0,2.0,21.0,south
no,no,no,12years,white,yes,32.0,0.0,0.0,0.0,west
no,no,yes,12years,white,no,12.0,0.0,0.0,49.5,other
yes,no,yes,12years,white,yes,18.0,0.0,2.0,13.0,south
yes,no,yes,12years,white,no,20.0,,,21.9,west
yes,no,yes,9-11years,white,no,20.5,0.0,1.0,33.6,northcentral
yes,no,yes,12years,white,no,16.0,2.0,0.0,30.0,northcentral
yes,no,yes,>16years,white,no,12.0,1.0,1.0,42.2,northcentral
yes,yes,yes,13-15years,white,no,27.0,0.0,0.0,0.0,other
yes,no,yes,12years,white,no,20.0,0.0,1.0,20.0,northcentral
yes,no,yes,16years,white,no,42.0,0.0,0.0,0.0,south
no,yes,no,16years,white,no,15.0,0.0,0.0,57.0,south
yes,no,yes,9-11years,,yes,13.5,0.0,2.0,9.0,northcentral
yes,yes,yes,16years,white,no,29.0,0.0,0.0,22.5,northcentral
no,yes,no,12years,,no,41.0,0.0,0.0,16.0,northcentral
yes,no,yes,13-15years,white,no,16.0,1.0,2.0,30.0,west
yes,yes,yes,12years,white,no,28.0,0.0,0.0,50.0,west
no,yes,yes,13-15years,white,no,14.0,0.0,1.0,20.0,south
no,no,no,12years,,no,25.0,0.0,0.0,0.0,other
yes,yes,yes,12years,white,no,13.0,1.0,1.0,25.465,northcentral
yes,yes,yes,12years,white,no,27.0,0.0,0.0,30.0,other
no,no,no,<9years,,no,39.0,0.0,0.0,11.5,west
no,no,no,9-11years,white,no,2.5,1.0,0.0,9.737,northcentral
yes,no,yes,12years,white,no,43.0,0.0,0.0,23.0,other
no,no,no,<9years,white,no,50.0,0.0,0.0,0.0,northcentral
no,no,no,12years,black,no,28.0,0.0,0.0,0.0,south
yes,no,yes,12years,white,no,13.0,0.0,3.0,19.0,west
yes,no,yes,16years,white,no,34.0,0.0,0.0,25.333,west
no,yes,yes,12years,white,no,17.0,1.0,1.0,38.0,west
yes,no,yes,9-11years,white,yes,48.5,0.0,0.0,13.68,other
yes,yes,yes,13-15years,white,no,9.0,1.0,0.0,43.0,northcentral
no,yes,no,16years,white,no,41.0,0.0,0.0,0.0,other
yes,no,yes,<9years,white,no,39.0,0.0,1.0,31.0,other
no,no,no,<9years,,no,47.0,0.0,0.0,0.0,south
no,yes,yes,16years,white,no,4.0,0.0,0.0,99.999,west
yes,no,yes,13-15years,white,no,20.0,0.0,1.0,31.619,northcentral
yes,yes,yes,13-15years,white,no,12.0,0.0,2.0,28.0,south
no,yes,yes,13-15years,white,no,20.0,2.0,1.0,48.0,other
yes,no,yes,13-15years,white,no,39.0,0.0,0.0,24.0,other
no,no,no,12years,white,no,35.0,0.0,0.0,30.0,other
no,yes,no,13-15years,white,no,8.0,1.0,0.0,0.0,other
no,yes,no,13-15years,white,no,31.0,0.0,0.0,0.0,northcentral
yes,yes,yes,13-15years,white,no,17.0,0.0,2.0,22.0,other
yes,yes,yes,12years,white,no,41.0,0.0,0.0,0.0,south
yes,no,yes,9-11years,white,no,43.5,,,40.0,other
no,no,no,9-11years,white,no,45.5,,,0.0,south
no,no,no,13-15years,white,no,21.0,,,0.0,northcentral
yes,no,yes,12years,white,no,25.0,0.0,2.0,0.0,west
yes,no,yes,16years,white,no,36.0,0.0,0.0,55.0,northcentral
yes,no,yes,12years,black,no,30.0,0.0,0.0,40.0,south
no,no,no,<9years,white,yes,51.0,0.0,1.0,3.2,west
no,no,no,12years,white,no,36.0,0.0,1.0,8.0,west
yes,no,yes,12years,white,no,17.0,1.0,0.0,40.0,other
no,yes,yes,13-15years,white,no,12.0,2.0,0.0,40.0,other
no,no,no,13-15years,black,no,12.0,0.0,2.0,22.0,south
yes,no,yes,12years,,no,24.0,0.0,2.0,60.0,northcentral
no,yes,no,>16years,white,no,23.0,,,0.0,other
no,no,no,12years,,no,39.0,0.0,0.0,0.0,other
yes,no,yes,12years,white,no,15.0,1.0,0.0,14.0,northcentral
no,no,no,12years,white,no,33.0,0.0,0.0,67.6,west
no,no,no,13-15years,white,no,0.0,1.0,0.0,0.4,other
yes,no,yes,12years,white,no,33.0,0.0,0.0,70.0,other
yes,no,yes,12years,white,yes,20.0,0.0,1.0,30.0,south
yes,no,yes,12years,white,no,18.0,0.0,1.0,14.5,northcentral
yes,no,yes,12years,white,no,16.0,0.0,2.0,38.0,other
no,yes,no,>16years,white,no,23.0,0.0,1.0,22.0,west
yes,no,yes,12years,white,no,35.0,0.0,0.0,52.0,west
no,yes,no,13-15years,white,no,11.0,1.0,0.0,42.0,northcentral
no,yes,no,12years,white,yes,14.0,1.0,0.0,0.0,other
no,no,no,12years,white,no,18.0,0.0,0.0,14.72,south
no,yes,yes,>16years,,no,26.0,0.0,0.0,54.0,south
no,no,no,13-15years,black,no,24.0,0.0,1.0,37.0,south
no,yes,yes,12years,black,no,23.0,,,38.0,south
yes,no,yes,<9years,white,no,51.0,0.0,0.0,0.0,south
yes,no,yes,12years,white,no,8.0,2.0,0.0,17.5,northcentral
yes,no,yes,12years,white,no,28.0,0.0,0.0,90.0,northcentral
no,yes,yes,13-15years,white,no,6.0,0.0,0.0,26.0,south
yes,yes,yes,12years,white,no,28.0,0.0,0.0,7.5,west
no,yes,no,12years,black,no,13.0,,,10.0,south
no,yes,no,13-15years,white,no,17.0,1.0,1.0,30.0,west
yes,no,yes,9-11years,white,no,37.5,0.0,0.0,15.6,northcentral
yes,no,yes,9-11years,white,no,18.5,0.0,3.0,40.0,south
yes,no,yes,9-11years,other,no,14.5,0.0,4.0,25.8,south
no,yes,no,13-15years,white,no,21.0,0.0,2.0,0.0,northcentral
no,yes,no,16years,white,no,29.0,0.0,0.0,0.0,other
no,no,no,13-15years,white,no,16.0,2.0,5.0,9.0,other
no,yes,yes,12years,white,no,18.0,0.0,0.0,40.0,west
no,yes,no,13-15years,white,no,15.0,1.0,2.0,35.0,other
no,yes,no,13-15years,white,yes,23.0,0.0,1.0,0.0,other
no,no,no,<9years,white,no,49.0,0.0,0.0,0.0,west
no,no,no,13-15years,white,no,7.0,1.0,0.0,14.824,northcentral
no,no,no,9-11years,white,no,24.5,1.0,0.0,17.0,other
no,no,no,13-15years,white,no,31.0,0.0,0.0,0.0,west
no,no,no,16years,white,no,32.0,0.0,1.0,31.0,south
yes,no,yes,16years,white,no,18.0,,,30.0,west
yes,no,yes,16years,white,no,28.0,0.0,1.0,59.545,south
yes,no,yes,12years,white,no,16.0,1.0,1.0,43.0,other
yes,no,yes,12years,white,no,42.0,0.0,0.0,9.593,south
no,yes,yes,16years,white,no,15.0,0.0,2.0,48.0,northcentral
no,no,no,12years,white,no,34.0,0.0,0.0,0.0,south
no,no,no,12years,white,no,12.0,0.0,2.0,135.999,other
no,yes,no,13-15years,white,no,17.0,0.0,0.0,38.0,other
no,no,no,13-15years,,no,18.0,0.0,1.0,35.0,south
no,no,no,16years,white,no,10.0,1.0,1.0,13.0,northcentral
no,no,no,9-11years,white,no,44.5,0.0,1.0,0.0,south
yes,no,yes,13-15years,white,no,14.0,1.0,0.0,26.0,other
no,yes,no,12years,other,no,23.0,0.0,1.0,2.5,west
yes,no,yes,12years,white,no,15.0,0.0,2.0,35.0,northcentral
yes,no,yes,16years,white,no,16.0,3.0,1.0,45.0,south
yes,no,yes,12years,white,no,20.0,0.0,1.0,22.397,south
yes,no,yes,16years,white,no,12.0,0.0,3.0,19.0,northcentral
yes,no,yes,16years,white,no,24.0,0.0,0.0,42.155,west
yes,no,yes,12years,white,no,18.0,1.0,0.0,30.0,other
yes,no,yes,12years,white,no,17.0,0.0,3.0,39.87,northcentral
no,no,no,12years,white,no,19.0,1.0,4.0,0.0,west
yes,no,yes,9-11years,white,no,46.5,0.0,0.0,0.0,northcentral
yes,yes,yes,13-15years,white,no,15.0,0.0,1.0,40.0,south
no,no,no,9-11years,white,no,15.5,0.0,1.0,16.0,south
yes,no,yes,13-15years,white,no,12.0,1.0,0.0,23.294,other
no,no,no,9-11years,white,no,46.5,0.0,0.0,0.0,northcentral
yes,no,yes,12years,,no,28.0,0.0,2.0,43.468,other
yes,no,yes,16years,,no,8.0,1.0,0.0,70.958,other
no,no,no,12years,white,no,3.0,1.0,0.0,17.0,other
yes,no,yes,13-15years,,no,16.0,0.0,0.0,56.0,northcentral
yes,no,yes,12years,white,no,45.0,0.0,0.0,11.2,northcentral
yes,no,yes,>16years,white,no,12.0,1.0,0.0,55.0,other
yes,no,yes,13-15years,white,no,22.0,0.0,0.0,30.0,northcentral
no,no,no,16years,,no,26.0,0.0,1.0,28.0,northcentral
no,yes,yes,>16years,white,no,19.0,0.0,0.0,3.0,west
no,yes,yes,12years,white,yes,25.0,0.0,1.0,25.0,south
no,no,no,13-15years,white,no,40.0,,,2.0,northcentral
yes,yes,yes,16years,,no,20.0,0.0,1.0,51.0,northcentral
yes,no,yes,16years,white,no,16.0,1.0,2.0,33.0,west
yes,no,yes,16years,white,no,34.0,0.0,0.0,86.0,south
yes,no,yes,9-11years,white,no,22.5,0.0,1.0,39.0,northcentral
no,no,no,12years,white,no,30.0,0.0,0.0,19.0,west
no,no,no,9-11years,white,no,17.5,0.0,3.0,5.95,south
yes,no,yes,13-15years,white,no,7.0,2.0,0.0,35.0,south
no,yes,no,>16years,white,no,25.0,0.0,1.0,58.5,northcentral
yes,no,yes,12years,white,no,44.0,0.0,0.0,0.0,northcentral
yes,no,yes,13-15years,white,no,20.0,0.0,1.0,35.0,south
no,no,no,16years,white,no,30.0,0.0,1.0,25.0,south
no,yes,no,16years,white,no,19.0,1.0,0.0,30.0,other
no,no,no,<9years,,yes,8.0,0.0,0.0,3.0,other
yes,no,yes,<9years,white,yes,15.0,,,15.365,other
yes,no,yes,9-11years,,yes,26.5,1.0,1.0,39.0,west
yes,yes,yes,13-15years,white,no,4.0,0.0,0.0,28.0,south
yes,no,yes,16years,white,no,24.0,0.0,2.0,80.0,other
yes,no,yes,16years,white,no,3.0,0.0,0.0,47.0,other
no,no,no,12years,white,no,40.0,0.0,0.0,0.0,northcentral
yes,no,yes,>16years,white,no,35.0,0.0,0.0,50.0,other
yes,no,yes,12years,white,no,33.0,0.0,0.0,0.0,other
no,no,no,12years,black,no,8.0,1.0,1.0,8.9,south
yes,yes,yes,12years,white,no,12.0,1.0,0.0,24.0,northcentral
no,no,no,9-11years,white,no,24.5,0.0,0.0,25.0,west
no,no,no,12years,white,no,18.0,,,0.0,south
yes,no,yes,12years,black,no,14.0,0.0,0.0,12.0,south
no,yes,no,13-15years,white,no,23.0,1.0,1.0,57.398,west
no,yes,no,12years,white,no,39.0,0.0,0.0,15.0,other
no,yes,yes,9-11years,black,yes,21.5,0.0,1.0,37.5,other
no,yes,no,12years,,no,14.0,2.0,0.0,16.0,south
yes,yes,yes,12years,white,no,9.0,0.0,0.0,12.0,northcentral
no,yes,no,16years,white,no,10.0,1.0,0.0,4.8,west
no,yes,no,13-15years,white,no,7.0,1.0,0.0,33.0,northcentral
no,no,no,12years,white,no,22.0,0.0,2.0,0.05,west
yes,no,yes,13-15years,white,no,18.0,0.0,3.0,18.017,other
no,no,no,12years,white,no,29.0,0.0,1.0,60.0,south
no,yes,yes,16years,white,no,7.0,,,99.999,northcentral
no,yes,no,16years,white,no,4.0,0.0,0.0,7.454,south
no,no,no,9-11years,white,no,19.5,0.0,1.0,0.0,west
yes,no,yes,13-15years,white,no,44.0,0.0,0.0,47.5,west
no,no,no,13-15years,white,no,19.0,0.0,2.0,0.0,south
yes,no,yes,13-15years,white,no,17.0,,,39.5,west
no,no,no,12years,white,no,25.0,0.0,1.0,99.999,south
yes,no,yes,12years,white,no,32.0,0.0,0.0,17.68,south
yes,no,yes,12years,white,no,27.0,0.0,1.0,35.0,south
yes,no,yes,13-15years,white,no,42.0,0.0,0.0,6.0,south
yes,no,yes,16years,white,no,26.0,0.0,0.0,26.4,west
yes,no,yes,12years,white,no,15.0,,,28.0,northcentral
no,yes,no,12years,white,no,39.0,0.0,0.0,0.0,other
no,no,no,12years,white,no,16.0,0.0,2.0,30.0,west
no,yes,no,9-11years,white,no,13.5,,,10.0,other
yes,no,yes,12years,white,yes,12.0,0.0,2.0,46.425,west
yes,no,yes,13-15years,white,no,18.0,0.0,2.0,37.5,northcentral
no,no,no,13-15years,,yes,10.0,0.0,2.0,0.0,west
no,yes,yes,13-15years,,no,11.0,1.0,1.0,43.0,south
no,no,no,9-11years,white,no,25.5,0.0,1.0,20.0,northcentral
no,no,yes,12years,white,no,10.0,,,53.0,south
no,no,no,16years,white,no,4.0,1.0,0.0,11.76,south
yes,yes,yes,12years,white,no,33.0,0.0,0.0,20.0,west
yes,no,yes,12years,white,no,41.0,0.0,0.0,0.0,west
no,no,no,12years,white,no,38.0,0.0,0.0,0.0,northcentral
yes,no,yes,16years,white,no,17.0,2.0,0.0,40.0,other
yes,no,yes,12years,white,yes,47.0,0.0,0.0,0.0,other
yes,no,yes,12years,white,no,13.0,2.0,0.0,35.0,northcentral
no,no,no,9-11years,,no,33.5,0.0,0.0,0.0,west
yes,no,yes,16years,white,no,8.0,1.0,0.0,30.0,other
no,yes,yes,13-15years,white,no,30.0,0.0,0.0,50.0,other
no,yes,no,12years,white,no,20.0,1.0,3.0,3.0,west
no,yes,yes,9-11years,other,no,15.5,0.0,0.0,12.48,south
no,yes,yes,13-15years,white,no,14.0,0.0,0.0,44.0,south
yes,no,yes,>16years,white,no,13.0,1.0,1.0,40.0,south
no,yes,yes,12years,white,no,33.0,,,28.0,other
yes,no,yes,9-11years,white,no,32.5,0.0,0.0,5.0,northcentral
yes,no,yes,12years,,no,43.0,0.0,0.0,61.0,other
no,no,no,12years,white,no,31.0,0.0,0.0,5.0,south
no,no,no,12years,white,no,11.0,0.0,0.0,25.043,west
yes,no,yes,16years,white,no,14.0,,,99.999,northcentral
yes,no,yes,16years,,no,13.0,1.0,1.0,42.0,northcentral
no,yes,no,12years,white,no,19.0,0.0,3.0,35.0,other
no,yes,yes,16years,white,no,8.0,0.0,0.0,99.999,other
no,no,no,13-15years,white,no,11.0,,,12.0,west
yes,no,yes,12years,white,no,15.0,1.0,1.0,44.0,west
no,no,no,16years,white,no,14.0,2.0,0.0,55.0,west
yes,no,yes,13-15years,white,no,26.0,0.0,4.0,0.0,other
no,no,no,12years,white,no,29.0,0.0,3.0,31.0,west
yes,no,yes,13-15years,white,no,9.0,2.0,1.0,46.854,west
no,yes,yes,13-15years,white,no,6.0,0.0,0.0,27.0,south
no,yes,no,12years,white,no,15.0,0.0,2.0,15.0,south
yes,yes,yes,9-11years,white,no,38.5,0.0,0.0,12.5,northcentral
yes,no,yes,13-15years,white,no,45.0,0.0,0.0,0.0,west
yes,no,yes,16years,white,no,16.0,0.0,0.0,70.0,northcentral
no,yes,yes,12years,white,no,37.0,0.0,0.0,22.0,south
no,yes,no,12years,white,no,9.0,1.0,1.0,55.0,northcentral
yes,no,yes,13-15years,white,no,18.0,0.0,1.0,22.6,south
no,yes,no,16years,white,no,15.0,0.0,2.0,31.0,south
no,no,no,12years,white,no,13.0,1.0,1.0,0.0,south
yes,no,yes,13-15years,white,no,40.0,,,54.0,south
yes,yes,yes,<9years,white,no,44.0,,,48.0,other
no,no,no,12years,white,no,20.0,1.0,1.0,18.0,northcentral
yes,no,yes,13-15years,white,no,22.0,0.0,3.0,35.0,west
no,no,yes,12years,white,no,24.0,0.0,1.0,0.0,west
no,no,no,12years,white,no,46.0,0.0,0.0,0.0,other
yes,no,yes,13-15years,white,no,22.0,1.0,1.0,40.0,other
no,no,no,13-15years,white,no,45.0,0.0,0.0,0.0,northcentral
no,no,no,13-15years,white,no,11.0,3.0,0.0,15.7,west
yes,no,yes,9-11years,white,no,20.5,0.0,2.0,18.824,other
yes,yes,yes,>16years,white,no,12.0,0.0,0.0,71.0,south
yes,no,yes,12years,,no,36.0,0.0,0.0,0.0,northcentral
yes,no,yes,9-11years,white,no,13.5,2.0,2.0,22.1,other
yes,no,yes,12years,white,no,43.0,0.0,0.0,3.1,south
yes,yes,yes,16years,white,no,30.0,0.0,0.0,38.0,northcentral
yes,no,yes,16years,white,no,20.0,1.0,1.0,99.999,west
no,no,no,16years,white,no,15.0,0.0,2.0,42.0,south
no,yes,yes,12years,,yes,17.0,0.0,2.0,31.0,west
no,yes,no,13-15years,white,no,26.0,0.0,1.0,32.0,northcentral
no,no,no,9-11years,white,no,14.5,1.0,2.0,15.0,south
no,no,no,9-11years,white,no,48.5,0.0,0.0,21.0,northcentral
yes,no,yes,<9years,,no,49.0,0.0,0.0,15.0,south
yes,no,yes,16years,,no,17.0,1.0,1.0,40.0,other
yes,no,yes,12years,white,no,12.0,1.0,1.0,35.0,northcentral
yes,no,yes,13-15years,black,no,17.0,,,0.0,northcentral
no,no,no,12years,,no,15.0,1.0,1.0,28.0,northcentral
yes,no,yes,12years,white,no,44.0,0.0,0.0,1.9,other
no,no,no,13-15years,white,yes,8.0,1.0,0.0,12.5,other
no,yes,no,12years,,no,11.0,,,15.0,west
no,yes,yes,16years,white,no,11.0,1.0,0.0,22.0,other
yes,no,yes,12years,white,no,17.0,,,19.5,northcentral
no,yes,no,13-15years,white,no,8.0,1.0,0.0,26.1,other
no,no,no,12years,white,no,46.0,0.0,0.0,4.0,other
yes,no,yes,13-15years,white,no,44.0,0.0,0.0,0.0,other
yes,no,yes,>16years,white,no,13.0,1.0,1.0,19.265,other
no,no,no,12years,white,no,7.0,0.0,0.0,9.5,south
no,yes,no,9-11years,white,no,20.5,0.0,2.0,5.99,other
yes,yes,yes,9-11years,white,no,34.5,0.0,1.0,30.0,south
yes,no,yes,<9years,,no,46.0,0.0,0.0,20.2,south
yes,yes,yes,13-15years,white,no,24.0,0.0,3.0,19.222,west
yes,no,yes,12years,,no,26.0,1.0,3.0,37.335,other
no,yes,yes,12years,white,no,31.0,0.0,0.0,40.0,west
no,yes,no,13-15years,white,no,34.0,0.0,0.0,6.0,northcentral
yes,no,yes,12years,white,no,19.0,,,45.0,northcentral
no,no,no,12years,white,yes,14.0,0.0,2.0,0.0,other
no,no,no,9-11years,black,no,9.5,0.0,0.0,6.4,northcentral
no,yes,yes,16years,white,yes,15.0,0.0,0.0,43.0,other
no,yes,no,>16years,white,no,23.0,0.0,0.0,0.0,west
yes,no,yes,12years,white,yes,18.0,1.0,1.0,23.0,other
yes,no,yes,13-15years,black,no,33.0,0.0,0.0,36.0,south
yes,yes,yes,12years,white,no,11.0,1.0,1.0,25.0,south
